n,a [Pa],b [unitless]
0,0.000000e+00,0.000000e+00
1,2.000000e+01,0.000000e+00
2,3.842530e+01,0.000000e+00
3,6.364780e+01,0.000000e+00
4,9.563700e+01,0.000000e+00
5,1.344830e+02,0.000000e+00
6,1.805840e+02,0.000000e+00
7,2.347790e+02,0.000000e+00
8,2.984960e+02,0.000000e+00
9,3.739720e+02,0.000000e+00
10,4.646180e+02,0.000000e+00
11,5.756510e+02,0.000000e+00
12,7.132180e+02,0.000000e+00
13,8.836600e+02,0.000000e+00
14,1.094830e+03,0.000000e+00
15,1.356470e+03,0.000000e+00
16,1.680640e+03,0.000000e+00
17,2.082270e+03,0.000000e+00
18,2.579890e+03,0.000000e+00
19,3.196420e+03,0.000000e+00
20,3.960290e+03,0.000000e+00
21,4.906710e+03,0.000000e+00
22,6.018020e+03,0.000000e+00
23,7.306630e+03,0.000000e+00
24,8.765050e+03,7.582350e-05
25,1.037612e+04,4.613950e-04
26,1.207740e+04,1.815160e-03
27,1.377530e+04,5.081120e-03
28,1.537980e+04,1.114290e-02
29,1.681950e+04,2.067790e-02
30,1.804520e+04,3.412120e-02
31,1.902770e+04,5.169040e-02
32,1.975510e+04,7.353380e-02
33,2.022220e+04,9.967470e-02
34,2.042990e+04,1.300230e-01
35,2.038450e+04,1.643840e-01
36,2.009740e+04,2.024760e-01
37,1.958430e+04,2.439330e-01
38,1.886480e+04,2.883230e-01
39,1.796140e+04,3.351550e-01
40,1.689950e+04,3.838920e-01
41,1.570640e+04,4.339630e-01
42,1.441110e+04,4.847720e-01
43,1.304320e+04,5.357100e-01
44,1.163280e+04,5.861680e-01
45,1.020950e+04,6.355470e-01
46,8.802360e+03,6.832690e-01
47,7.438800e+03,7.287860e-01
48,6.144320e+03,7.715970e-01
49,4.941780e+03,8.112530e-01
50,3.850910e+03,8.473750e-01
51,2.887700e+03,8.796570e-01
52,2.063780e+03,9.078840e-01
53,1.385910e+03,9.319400e-01
54,8.553620e+02,9.518220e-01
55,4.673330e+02,9.676450e-01
56,2.103940e+02,9.796630e-01
57,6.588920e+01,9.882700e-01
58,7.367740e+00,9.940190e-01
59,0.000000e+00,9.976300e-01
60,0.000000e+00,1.000000e+00
