Level edge index,Ap (hPa),Bp (unitless)
0,0.000000e+00,1.000000e+00
1,4.804826e-02,9.849520e-01
2,6.593752e+00,9.634060e-01
3,1.313480e+01,9.418650e-01
4,1.961311e+01,9.203870e-01
5,2.609201e+01,8.989080e-01
6,3.257081e+01,8.774290e-01
7,3.898201e+01,8.560180e-01
8,4.533901e+01,8.346609e-01
9,5.169611e+01,8.133039e-01
10,5.805321e+01,7.919469e-01
11,6.436264e+01,7.706375e-01
12,7.062198e+01,7.493782e-01
13,7.883422e+01,7.211660e-01
14,8.909992e+01,6.858999e-01
15,9.936521e+01,6.506349e-01
16,1.091817e+02,6.158184e-01
17,1.189586e+02,5.810415e-01
18,1.286959e+02,5.463042e-01
19,1.429100e+02,4.945902e-01
20,1.562600e+02,4.437402e-01
21,1.696090e+02,3.928911e-01
22,1.816190e+02,3.433811e-01
23,1.930970e+02,2.944031e-01
24,2.032590e+02,2.467411e-01
25,2.121500e+02,2.003501e-01
26,2.187760e+02,1.562241e-01
27,2.238980e+02,1.136021e-01
28,2.243630e+02,6.372006e-02
29,2.168650e+02,2.801004e-02
30,2.011920e+02,6.960025e-03
31,1.769300e+02,8.175413e-09
32,1.503930e+02,0.000000e+00
33,1.278370e+02,0.000000e+00
34,1.086630e+02,0.000000e+00
35,9.236572e+01,0.000000e+00
36,7.851231e+01,0.000000e+00
37,6.660341e+01,0.000000e+00
38,5.638791e+01,0.000000e+00
39,4.764391e+01,0.000000e+00
40,4.017541e+01,0.000000e+00
41,3.381001e+01,0.000000e+00
42,2.836781e+01,0.000000e+00
43,2.373041e+01,0.000000e+00
44,1.979160e+01,0.000000e+00
45,1.645710e+01,0.000000e+00
46,1.364340e+01,0.000000e+00
47,1.127690e+01,0.000000e+00
48,9.292942e+00,0.000000e+00
49,7.619842e+00,0.000000e+00
50,6.216801e+00,0.000000e+00
51,5.046801e+00,0.000000e+00
52,4.076571e+00,0.000000e+00
53,3.276431e+00,0.000000e+00
54,2.620211e+00,0.000000e+00
55,2.084970e+00,0.000000e+00
56,1.650790e+00,0.000000e+00
57,1.300510e+00,0.000000e+00
58,1.019440e+00,0.000000e+00
59,7.951341e-01,0.000000e+00
60,6.167791e-01,0.000000e+00
61,4.758061e-01,0.000000e+00
62,3.650411e-01,0.000000e+00
63,2.785261e-01,0.000000e+00
64,2.113490e-01,0.000000e+00
65,1.594950e-01,0.000000e+00
66,1.197030e-01,0.000000e+00
67,8.934502e-02,0.000000e+00
68,6.600001e-02,0.000000e+00
69,4.758501e-02,0.000000e+00
70,3.270000e-02,0.000000e+00
71,2.000000e-02,0.000000e+00
72,1.000000e-02,0.000000e+00
