A (Pa),B (dimensionless),p half (Pa),half level,p full (Pa),full level
0.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+05,0.5,100000.00,0
3.81960202384420E-01,9.98082302745425E-01,9.98086122347449E+04,1.5,99904.29,1
2.28291058268584E+00,9.95295154130078E-01,9.95317983235905E+04,2.5,99670.17,2
7.26302991079037E+00,9.91568913909771E-01,9.91641544208879E+04,3.5,99347.92,3
1.75014084835484E+01,9.86835732357729E-01,9.87010746442564E+04,4.5,98932.52,4
3.58377859542454E+01,9.81029007209412E-01,9.81387385068954E+04,5.5,98419.77,5
6.57885280451939E+01,9.74083114967637E-01,9.74741000248089E+04,6.5,97806.23,6
1.11534392415342E+02,9.65933434381879E-01,9.67048778306032E+04,7.5,97089.23,7
1.77878399880398E+02,9.56516672775122E-01,9.58295456773926E+04,8.5,96266.88,8
2.70172962859622E+02,9.45771497843382E-01,9.48473227471978E+04,9.5,95338.01,9
3.94216325080919E+02,9.33639468704960E-01,9.37581631955769E+04,10.5,94302.22,10
5.56119328049108E+02,9.20066250467165E-01,9.25627443747656E+04,11.5,93159.81,11
7.62144528509427E+02,9.05003086586742E-01,9.12624531871836E+04,12.5,91911.83,12
1.01852072917784E+03,8.88408493057623E-01,8.98593700349401E+04,13.5,90560.01,13
1.33123702783589E+03,8.70250128253278E-01,8.83562498531637E+04,14.5,89106.75,14
1.70582150607621E+03,8.50506782429516E-01,8.67564997490278E+04,15.5,87555.16,15
2.14711063050055E+03,8.29170421862139E-01,8.50641528167144E+04,16.5,85908.94,16
2.65901628229974E+03,8.06248214805148E-01,8.32838377628145E+04,17.5,84172.43,17
3.24429801819574E+03,7.81764460391533E-01,8.14207440573490E+04,18.5,82350.53,18
3.90434864741328E+03,7.55762337748587E-01,7.94805824222720E+04,19.5,80448.71,19
4.63900143785868E+03,7.28305391427328E-01,7.74695405805915E+04,20.5,78472.91,20
5.44636719722841E+03,6.99478671154904E-01,7.53942343127188E+04,21.5,76429.54,21
6.32270907737545E+03,6.69389449218261E-01,7.32616539992015E+04,22.5,74325.39,22
7.26236220165995E+03,6.38167447649298E-01,7.10791069665898E+04,23.5,72167.63,23
8.25770411003936E+03,6.05964519813420E-01,6.88541560913814E+04,24.5,69963.68,24
9.29918056913880E+03,5.72953746816960E-01,6.65945552508348E+04,25.5,67721.21,25
1.03753895390152E+04,5.39327927948553E-01,6.43081823338705E+04,26.5,65448.04,26
1.14732240805217E+04,5.05297465547429E-01,6.20029706352646E+04,27.5,63152.07,27
1.25780728029053E+04,4.71087667442663E-01,5.96868395471716E+04,28.5,60841.23,28
1.36740741837049E+04,4.36935513458310E-01,5.73676255295359E+04,29.5,58523.40,29
1.47444188483625E+04,4.03085955334218E-01,5.50530143817843E+04,30.5,56206.35,30
1.57716917886268E+04,3.69787840612997E-01,5.27504758499265E+04,31.5,53897.65,31
1.67382446406603E+04,3.37289569438974E-01,5.04672015845577E+04,32.5,51604.63,32
1.76265866424519E+04,3.05834607737402E-01,4.82100474161921E+04,33.5,49334.32,33
1.84197818378429E+04,2.75656989982275E-01,4.59854808360704E+04,34.5,47093.39,34
1.91018395617755E+04,2.46976949037224E-01,4.37995344654979E+04,35.5,44888.07,35
1.96580852716381E+04,2.19996808968090E-01,4.16577661684471E+04,36.5,42724.18,36
2.00755268600696E+04,1.94896994550394E-01,3.95652263151090E+04,37.5,40607.00,37
2.03482038553370E+04,1.71782286882544E-01,3.75264325435914E+04,38.5,38541.34,38
2.04828643482145E+04,1.50624878505730E-01,3.55453521987874E+04,39.5,36531.42,39
2.04887651769179E+04,1.31366272806837E-01,3.36253924576016E+04,40.5,34580.93,40
2.03759691160234E+04,1.13934288680911E-01,3.17693979841145E+04,41.5,32693.00,41
2.01551248032749E+04,9.82453099923661E-02,2.99796558025115E+04,42.5,30870.20,42
1.98372514257646E+04,8.42065550889962E-02,2.82579069346642E+04,43.5,29114.54,43
1.94335331685911E+04,7.17183105876630E-02,2.66053642273574E+04,44.5,27427.49,44
1.89551277648791E+04,6.06760792963919E-02,2.50227356945183E+04,45.5,25810.01,45
1.84129927154439E+04,5.09725990918127E-02,2.35102526246252E+04,46.5,24262.57,46
1.78177319103491E+04,4.24996974349424E-02,2.20677016538433E+04,47.5,22785.17,47
